Country,Year,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Afghanistan,1952,58.19087336,21.01770125,20.68278375,3.190957709,7.671,0.01090342,-10,0,17.56274695,29.51428577,13500,0,2.679386285,0,0,28.35535173,2338.335943,0,0,146.2928571,13.21197502,0.892824482,27.448,0,0,0,17.36033333,0.034844249,3.83731842,6.547782898,0.881813586,0,2.555322615,8407148,12.893,0,39.1815,4822.835,0,0,5.225978688,147,0,26.23766078,-14.67929691,34.5282402,15.86569231,4.747096835,91.66666667
Albania,1952,41.88564477,25.5421075,25.21042,11.08952061,6.071,0.294650131,-9,0.765652448,18.86336079,71.5,7690,1154.008464,54.30811764,1.334567619,0,40.2454334,4803.168409,0,0,50.50714286,41.82338964,6.606670493,54.876,95.93863978,98.83120696,0,22.652,1.184041594,6.681117058,11.46919537,2.020035982,0,1.477580486,1269302,44.153,4.91,96.465,15676.68,530.4848333,0,13.35086973,16.66,3538419308,138.5837104,-21.38207261,12.34991932,36.72523077,2.643858117,374
Algeria,1952,17.52979614,23.36975375,25.01352375,10.43635623,7.648,0.425993246,-5.916666667,0.756944622,29.99009356,29.18571445,15790,1705.202014,76.23031739,1.500884466,0,29.36568613,7347.024556,2.56,32.67,82.31333333,12.51712539,3.826979825,42.678,0,0,0,18.95566667,0.343016048,9.806334496,13.78124619,5.940273285,0.28771186,2.374473431,9140990,3.838,24.55,78.402125,619.36865,241.4186742,0,45.25581817,16.8,39121436723,99.80270729,1.320798101,18.18716621,48.77933846,4.14742368,3894
American Samoa,1952,20.83333333,0,0,1.559312382,0,0,0,0,0,0,180,0,0,0,0,0,13799.49386,0,0,0,0,0,0,0,0,0,0,0.772300005,0,0,0,0,2.400895121,19525,98.116,0,0,0,0,0,0,51.45,0,0,0,0,78.39826154,3.159450636,0
Andorra,1952,44.5035461,26.48890375,25.9741725,22.38214458,0,7.165023448,0,0,0,0,160,17383.86258,1433.020707,17.06003868,0,0,49618.60246,0,0,4.05,7.372056412,27.23584776,0,0,0,0,0,2.549,0.726512909,1.060996175,0.39156726,0,3.882671729,7247,15.485,0,101.506,0,0,0,0,7.1,948326450.5,2105.490543,0,12.65543461,85.77981538,4.349325485,513.3333333
Angola,1952,46.06761851,21.31958,21.45067875,4.711074891,6.98,0.07253909,-4.111111111,0.584179712,70.32448792,78.4857145,597280,376.8935259,41.61213011,0,0,54.82159222,10561.83082,0.6,44.74,129.53,1022.529697,1.292659027,29.804,0,0,0,17.09,0.068822702,48.2061882,84.50010681,13.677001,0,2.646071907,4296534,3.446,70.21,71.1465,18252.035,73.49641636,0,0,187.6666667,11645128220,50.46912676,15.15239734,68.28264618,31.1166,6.067401688,311.6666667
Anguilla,1952,0,0,0,0,0,3.441873742,0,0,0,0,0,0,0,0,0,0,11038.55257,0,0,0,0,0,0,95.40709812,99.11373708,0,0,0,0,0,0,0,0,5438,59.758,0,0,0,0,0,0,53.35,0,0,0,0,0,0,45.22222222
Antigua and Barbuda,1952,27.65151515,24.5302725,25.95106,31.57252113,4.496,4.74170053,0,1.629686859,70.07670997,0,100,9070.635111,301.9265977,0.092391158,0,80.7752112,7661.639427,0,0,13.55,6.759186766,27.15930476,58.284,0,0,0,0,0.717288985,7.484961987,12.66622734,2.550779104,0,0.955633094,49906,112.91,0,98.332,768.89705,0,0,0,73.66666667,666175185.4,455.5527515,-12.33741425,7.480210304,34.35598462,0.655399145,329.7179487
Argentina,1952,47.61655503,26.3596375,25.59367375,19.10536795,3.157,2.022216299,-9,1.562840208,10.68503864,47.97142846,318610,6958.908595,337.4737866,7.926679473,0,9.101638481,17733.94516,1.58,35.285,65,139.0733577,10.26658765,62.32,93.91285971,96.88254343,0,27.52966667,2.580999714,5.3709355,9.051202625,1.791822875,0.711260784,1.364048043,17865382,6.425,7.688,103.2982222,28583.89,428.3138045,7.47523525,14.19743288,62.4,2.14846E+11,589.6323525,1.346400958,11.4181445,83.99073846,1.85810675,36127.66667
Armenia,1952,49.51544944,24.29155375,26.2328825,6.005376362,4.492,1.223366511,-9,0.811102067,26.24359333,83.11428506,3040,806.6710134,23.76120382,2.45954213,0,50.74939783,4217.465954,2.14,35.22,38.55,119.8649039,3.126012874,62.602,0,0,0,25.414,3.441516666,3.210839272,6.001464367,0.852436304,0,1.14401027,1419913,47.648,27.71333333,102.018,2251.3887,547.3746067,0,15.65908219,49.38,2520627453,68.77010502,-24.5058045,11.5320797,62.73967692,1.643932983,3864.666667
Aruba,1952,11.11111111,0,0,26.00821021,5.695,21.04862909,0,0,120.5732437,0,4,18178.42694,0,0,0,141.8482294,8195.001555,0,0,0,4.323309122,18.8528014,60.01,97.29125212,99.02641305,0,26.11866667,0,0,0,0,0,1.47588876,38966,216.478,0,97.74533333,0,0,0,0,44.92,1395282409,0,-21.27498559,0,49.43098462,1.204027728,1821.111111
Australia,1952,60.62209017,26.1990425,25.306705,28.25272017,3.181,7.002081852,10,4.621278903,15.94591555,64.35714286,1549200,16225.38986,1771.000618,11.54388566,13.95999977,16.33323316,30118.78691,0,0,24.2,5.43018143,30.88848317,69.12,0,0,2.100000007,31.46366667,2.116666667,1.461196,1.906272,0.9769186,1.919057099,1.517343216,8604679,1.112,0,99.02975,32938.845,1890.414982,7.058182,23.76498065,39.3,2.70591E+11,2643.658054,-0.75664864,24.82943,85.62393846,1.706694727,60250.66667
Austria,1952,43.405094,25.58036,24.48609125,34.88183144,2.061,3.188072669,10,2.966939182,36.1454919,67.47142791,38380,16874.17662,2659.737802,11.17628571,17.60142851,35.02288522,18411.22948,3.345601218,23.04538597,52,3.325248576,33.70645887,66.8,0,0,1.299999992,36.138,1.890909091,1.201481908,1.3831912,1.028276992,1.453113591,0.366720387,6929474,82.633,0,94.76975,10103.815,1210.258098,15.6945065,19.89441673,33.56,1.31803E+11,3499.755298,0.100567224,21.36402677,65.60875385,0.438134583,22091.66667
Azerbaijan,1952,56.05581337,24.7943475,26.61228625,10.64344095,5.505,5.02058546,-9,1.757272733,53.86519494,82.9714301,9360,1026.579299,16.80687682,2.479389862,0,48.94115273,4322.023901,0,0,56.75,228.0577871,5.862177514,57.754,0,0,0,23.08766667,3.742579976,13.67445035,25.11227474,2.93054778,0.785106124,1.809258725,3044695,35.158,2.81,98.9904,4652.3771,1296.938435,1.919739075,15.85377533,34.6,8460851749,92.5656999,4.92404222,9.489263606,51.84573846,1.910574845,40742.53333
Bahamas,1952,1.148851149,25.6994825,27.50620625,19.96909005,4.021,0.945643898,0,2.109684532,52.45768241,77.18571472,5150,17525.72536,584.4697647,2.269428499,0,53.37738698,14695.80152,0,0,22.62307692,3.250227379,15.82173767,59.824,0,0,4.900000095,21.78133333,0.973718798,22.86083541,36.43335342,9.057776451,0,2.409691825,81426,5.867,0,99.69375,93.8745,0,0,14.7260195,52.4,4159279750,1288.251938,-0.902307169,22.00443649,74.1474,3.124645919,77
Bahrain,1952,11.73385793,25.80464375,26.88756875,30.59225861,6.973,10.76383952,-9.2,8.647513466,95.81428769,33.87142863,4.6,11552.4509,420.1869333,1.501811775,0,83.86824126,19734.16953,0,0,47.1,4.753171471,20.10141682,42.459,0,0,0,22.69233333,1.016366106,0.964839171,1.227585006,0.531328751,0,4.105543071,119567,172.287,0,93.93044444,354.68085,4649.399854,4.225476,4.903385928,18.02,6951091302,609.12498,11.94604643,12.43672228,86.17072308,4.373587188,1287
