Ranking,Country with its value
1,"('Ireland', 3.3192259007360034)"
2,"('Denmark', 3.053759164280157)"
3,"('United Kingdom', 3.0008811938184428)"
4,"('Netherlands', 2.9561991205317475)"
5,"('Australia', 2.902875459830983)"
6,"('United States of America', 2.8698912878169898)"
7,"('New Zealand', 2.642286948425371)"
8,"('Belgium', 2.6404731120283658)"
9,"('Austria', 2.5524042725643628)"
10,"('Switzerland', 2.53593411737425)"
11,"('France', 2.497027482956496)"
12,"('Italy', 2.493501933181985)"
13,"('Germany', 2.4479848029349656)"
14,"('Canada', 2.3859366984247457)"
15,"('Costa Rica', 2.3826999988326008)"
16,"('Cyprus', 2.3305496568723236)"
17,"('Israel', 2.309267665890572)"
18,"('Norway', 2.2354893091674457)"
19,"('Luxembourg', 2.1648872570596)"
20,"('Jamaica', 2.163194915234995)"
21,"('Finland', 2.159852875960701)"
22,"('Malta', 2.145953642134256)"
23,"('Sweden', 2.145583517275281)"
24,"('Japan', 2.1439109183704845)"
25,"('South Africa', 2.1279727461896805)"
26,"('Greece', 2.0737682547809335)"
27,"('Malaysia', 2.0417287571786362)"
28,"('Uruguay', 1.9305482106085559)"
29,"('Singapore', 1.9022984683146635)"
30,"('Namibia', 1.900191371353438)"
31,"('Mauritius', 1.898658818427534)"
32,"('India', 1.8979931706600353)"
33,"('Philippines', 1.8546541553341271)"
34,"('Botswana', 1.8310671436154684)"
35,"('Trinidad and Tobago', 1.8150322078744456)"
36,"('Lesotho', 1.701140148686759)"
37,"('Brazil', 1.692056971173411)"
38,"('Barbados', 1.6646314534808875)"
39,"('Hungary', 1.6275477705871062)"
40,"('Turkey', 1.612367124349393)"
41,"('Papua New Guinea', 1.550374886449637)"
42,"('Spain', 1.5086429830284487)"
43,"('Colombia', 1.4945509303582216)"
44,"('Iceland', 1.493605558310687)"
45,"('Russian Federation', 1.4605194828528816)"
46,"('Sri Lanka', 1.4460160575710446)"
47,"('Liechtenstein', 1.4354941902998237)"
48,"('Venezuela', 1.4081397280279422)"
49,"('Fiji', 1.3771276622208357)"
50,"('El Salvador', 1.3759071075527372)"
51,"('Ecuador', 1.36230439503612)"
52,"('Portugal', 1.3463649048161095)"
53,"('Thailand', 1.3020905328730126)"
54,"('Grenada', 1.2631823786848486)"
55,"('Lebanon', 1.250777122101933)"
56,"('Andorra', 1.237821683629376)"
57,"('Bolivia', 1.225985828189929)"
58,"('Mongolia', 1.2104519411647239)"
59,"('Gambia', 1.1905344477995232)"
60,"('Argentina', 1.1666262212684462)"
61,"('Chile', 1.1589955501293523)"
62,"('Mexico', 1.1356760402479547)"
63,"('Madagascar', 1.0910108033059116)"
64,"('Ukraine', 1.0901489350830462)"
65,"('Poland', 1.073790638002737)"
66,"('Bulgaria', 1.072013993281665)"
67,"('Bermuda', 1.06940494462004)"
68,"('Lithuania', 1.067430980888673)"
69,"('Brunei', 1.0456195596601903)"
70,"('Slovak Republic', 1.0419576230508245)"
71,"('Bangladesh', 1.041746184936567)"
72,"('Honduras', 1.0320050783662715)"
73,"('Czech Republic', 1.0302171086218634)"
74,"('Dominican Republic', 1.0072645400719595)"
75,"('Seychelles', 1.002745220023606)"
76,"('Panama', 1.0022916957465535)"
77,"('Slovenia', 0.9952042092405566)"
78,"('Romania', 0.9708791016304945)"
79,"('Estonia', 0.9705868242305414)"
80,"('Aruba', 0.9602180935240388)"
81,"('Isle of Man', 0.9539708511544928)"
82,"('Maldives', 0.9508859504155749)"
83,"('Sierra Leone', 0.9437306708285975)"
84,"('Nigeria', 0.9307716996385105)"
85,"('Puerto Rico', 0.9156335734952289)"
86,"('Timor-Leste', 0.8839855429060219)"
87,"('Monaco', 0.8819579154673812)"
88,"('Kazakhstan', 0.8766057224065698)"
